Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
104,107,SKC,SkyCity Entertain,2.391,4.07,+2,4.14,3.09,17.11,p,4.20,4.42,13.0,14.95,27.2,-.7,3.210,.43,12.6,13.8,,
105,104,FXJ,Fairfax Media,2.384,.985,-1,1.065,.725,4.00,f,4.06,5.80,100.0,2.40,41.0,-,1.198,.29,12.4,15.4,,
106,110,WOR,WorleyParsons,2.371,9.70,+42,18.97,8.52,85.00,p,8.76,9.36,-8.1,97.70,9.9,-18.4,1.122,-.05,-29.2,-26.0,,
107,106,SGM,Sims Metal Mgt,2.341,11.43,-23,13.05,9.15,26.00,f,2.27,3.25,-,-11.70,-,302.2,1.413,8.83,31.6,-3.9,,
108,109,SKT,Sky Network TV,2.327,5.98,+10,6.52,5.25,27.92,,4.67,4.67,36.6,42.58,14.0,33.3,1.926,-.41,1.8,19.2,,
109,108,BSL,BlueScope Steel,2.323,4.11,+1,6.64,3.98,-,f,-,-,-,1.12,367.0,-,.573,6.43,-25.8,24.3,,
110,102,MEZCA,Meridian Energy,2.253,1.795,-19,2.13,1.05,10.39,,5.79,5.79,-,8.36,21.5,-,.536,-,102.6,-,,
111,111,GNE,Genesis Energy,2.230,2.23,+3,2.45,1.565,13.57,,6.09,6.09,-,6.52,34.2,-,1.299,-,1112.3,129.7,,
112,113,GNC,GrainCorp,2.190,9.57,+25,10.19,7.83,20.00,f,2.09,2.99,-50.0,22.00,43.5,-45.8,1.274,5.48,18.0,7.1,,
113,114,GMA,Genworth Mortg Ins,2.184,3.36,+9,4.131,2.735,15.90,f,4.73,6.76,-,49.86,6.7,-,.855,-,-,-,,
